,id_transaction,id_compte,type,date_creation,montant
0,d4a1bd36-e442-43aa-80a2-baf63c28d756,2d1ac699-d45e-47e6-a3d5-25ad8c00bc75,Depot,91021,195
1,d02b6d9d-5bd4-49e9-9788-8948e865db9c,2de3ac48-74ae-4883-8fd9-158eb8915312,Retrait,180320,3461
2,94038ca2-8dac-49df-a865-2dc117b32154,4a446fe9-8ffd-49b5-84a8-97643bee2191,Depot,290821,8395
3,f42eb468-111f-45a2-bc93-a155d10729f3,b5bc2d8a-d671-45fa-a3f4-5007a797cd35,Depot,250922,1648
4,bb24d1f2-ea3b-4d89-883a-ce38e3afe645,7e3a5e9e-aab5-447d-a7d0-969eba4bf083,Depot,240621,4262
5,f527ecd7-5b0b-482d-b106-7dc571d07d64,33550055-d64a-4f59-a6b7-ea1a75ce0f4b,Retrait,270622,7692
6,735919d9-c856-4ead-9fe7-7f46da754f7c,1e3a939b-118a-4377-867c-e802f62cd69f,Depot,270620,8081
7,0d75e1f2-f667-4613-8112-d0ad36f4dddd,830d1a60-0013-47e3-87e3-e03cd006bad1,Retrait,180123,2723
8,4375ddf3-be29-44a7-8cec-cd80cdcacf9a,441e3647-f375-494c-ad77-9e9e105732d3,Depot,130321,6988
9,3c9f007a-2a7f-48c0-8360-4d39b05f8659,0009eda0-3550-4a13-9498-68899d19936d,Retrait,251022,9582
10,08eae5f1-4eca-4917-b063-723f3396a441,5e841c89-ceab-40eb-a2bb-5973b4fb766b,Depot,290321,6277
11,a8c20c06-a778-4ec5-85fe-39ebefb00b98,25d639b0-0d43-4c2a-96c0-e592ee8f8e6d,Retrait,181123,6138
12,3abcc0c1-8b5e-44e8-8453-97f68e3c4dce,ef2dc4da-6569-4290-b4ee-c39d55bb1510,Depot,100923,9230
13,8767eaf6-6c85-4a20-8015-dd7850c13d96,1863701e-d5d1-495e-a349-d7d784786517,Depot,70420,8085
14,3516af6b-cc8d-4e8c-8e47-ea6df0a5c1d1,84b2e26b-a7af-4951-954d-3b8e984f34f4,Retrait,70222,9633
15,2476c07b-a389-4393-868c-19313a996465,179ea3cc-ffd9-4680-933f-8faa9f434aa3,Retrait,80523,3548
16,8f444d54-0bba-4924-97f9-42b6bfa10e39,80a0a80f-c75e-48fd-8f64-28901e163a4a,Depot,40324,2569
17,53cf4112-2b06-46ed-b404-e66faaccbf5c,4454ee5f-4b6d-4f30-9c1c-04e31b7c55a3,Depot,280921,4973
18,bd1ffdbe-097f-438b-b09b-b5db97613cc2,15da0be0-1c3a-44dc-96fc-1216aa08a4e5,Retrait,180820,1916
19,51771157-7461-4de1-b3ed-2ccfa8a47e5b,cc30c426-59d2-4014-899a-e8930f909885,Retrait,230220,5208
20,c1536811-314f-4e5f-aec6-a813a5f1da9e,970c77ac-d80c-44b7-9eea-0497c9398e4c,Depot,60823,7955
21,c0dc8757-2591-4f6f-a52c-7de971b2a77a,ed396735-99f7-40a8-bd25-0146c9ca6911,Retrait,80922,2872
22,4d74e557-a9cd-47bd-8d4a-831c491323db,f538d7b3-5fb1-473b-99d1-2feeb4bc8d65,Retrait,150323,3567
23,de5be1cd-f613-4ee4-a297-737667cea0e0,50cc2f12-00c1-4a3a-a93b-be30c495296f,Retrait,51120,2144
24,e1a44322-98ac-4a4f-8955-84a258655bf2,4d666e08-84fc-4e00-8f32-72fd1fc96f6a,Depot,130421,4915
25,e9875176-858d-43ee-b538-c9e247ba0a1c,ead4dd61-a44c-4cfd-ba4c-7326ab905428,Retrait,240722,9756
26,ecc8bfb4-976e-4eb8-b643-6dce7a843974,65cafdcf-d81e-430d-acc9-b41fb7ad2835,Retrait,281120,3696
27,2937003c-79dd-48f6-b7aa-5c5d92ac787f,c41f8aa1-be92-405a-bf5e-877a95b594e3,Retrait,20221,2947
