,id_compte,id_client,type,solde,date_creation
0,65f63bd6-48bf-4cd8-804b-d080d1a15ee9,f96b8d23-9b75-4257-b7c2-d256dbaa891d,Compte epargne,7484,2021-10-13
1,a3d51f06-f521-4c3b-b060-16f8f9fcf729,fd4463f6-315b-4e5b-b8d7-f64fa2aaffe2,Compte cheques,7866,2023-03-13
2,87a91130-809d-4731-9abb-a23e88e8670f,dddfe9c7-0d2b-418c-9907-bf6a6491ad2a,Compte epargne,9578,2021-10-10
3,4842091e-c23a-4fdb-8af3-ef04112f7ac1,cb64d8ae-1840-42ed-b795-c6b37db729cc,Compte de depot a vue,5275,2023-11-26
4,a19a0a41-3e2e-4938-b673-a25e3ac65124,59f26be8-b9a6-453c-8fbe-656b6cc6bf74,Compte cheques,1172,2022-01-01
5,6812806f-1aac-4242-81ca-e13fa2c2ad7d,4f20b75e-3184-4223-9c45-f50f3469049f,Compte courant,4459,2023-10-22
6,7a499cd5-d410-4ca2-b6a7-d8e1d5e90221,4ee77dfe-b091-4f95-bbdb-15a43ce2a12e,Compte a terme,6732,2023-09-29
7,675c291f-e3bc-4230-8262-c18a4c814bdc,37bb042d-3430-4727-beb5-39d58ed4eceb,Compte courant,3086,2023-12-02
8,0eb096cb-a73d-44a9-99a1-009eb7d712f5,3adeabb8-a35c-4771-89a6-549274f31f9e,Compte epargne,2449,2023-04-20
9,c8768fab-468e-42db-a320-b18d4073d570,cea926b5-d797-43c7-85e3-6568d7739072,Compte a terme,4396,2022-06-18
10,9782f25e-5ef5-4077-a403-3c9dd06a5d52,6ceae23e-201b-4799-b891-8810588a6594,Compte epargne,3506,2021-08-04
11,187c2a9b-5430-48bf-b5f6-ce41839c85ab,1aca4db4-0931-4feb-922b-3898f077e9cd,Compte epargne,6914,2022-07-13
12,87b085f9-bfe6-4fca-8b16-353dc2d1727c,c99a5c57-5474-4b10-8211-19db9677746a,Compte cheques,18,2022-05-08
13,c54cf828-fc3f-4131-a8de-37cdd6a6ea0c,64cde1f5-98ac-4382-957d-0b27807cea5b,Compte joint,5228,2022-01-23
14,86f2c023-197a-4eba-b528-bd4166e84313,37a535db-0197-4331-b707-d13824565066,Compte de depot a vue,3990,2023-01-12
15,8c2bbb90-65ae-4227-be57-7e974df834b6,43cd820c-31e6-4b46-bf58-cb6b5593f519,Compte joint,6357,2021-01-10
16,6277b4db-8fd9-4aff-a833-ab81f060e97d,85b7d597-8f4d-414e-8f37-892034f0cd3f,Compte a terme,5860,2021-07-12
17,4a90a3b4-4547-4117-9fb4-d2f3b964ac4f,4a020f79-088e-41f7-92c0-6c38813151d1,Compte cheques,366,2020-02-16
18,e2123409-6133-4ba6-9d6c-876ee9d309ed,126e070a-61ac-4a24-bb68-e9c10457c045,Compte joint,4360,2023-07-29
19,bcde74c2-54c6-43e9-b52c-aa70498c5a31,e499d174-0718-4458-bf7f-baf8eabb63db,Compte courant,52,2022-03-21
20,de864552-7891-413f-abc0-6e7493cee7e1,8c043108-e6ad-4c9b-9240-46488f33d653,Compte a terme,168,2021-09-02
21,74821c0a-1824-48ed-b62e-dfe034427f15,44b18cf7-020c-49df-86f4-aa4cfde72725,Compte cheques,9835,2024-02-25
22,997ad411-4b01-4baa-b456-bb294f14e2a4,b1f4d6d8-1d6c-40f6-83c1-e6b0b4c501d0,Compte de depot a vue,7967,2022-05-14
23,9a7d00a4-a869-4689-bfdb-9da7f2a30e0f,a91db302-5653-429c-b16f-39afe843120a,Compte epargne,8190,2020-09-20
24,113f96e5-3bee-4b0c-b4b8-a5c27121452a,21169225-ac78-4e18-a81c-1d8753c4e3f8,Compte courant,8774,2021-09-23
25,54e21b52-9280-466d-a768-1b95c39dd094,755c96ac-fcd8-48f1-904f-1a59a5aeb95c,Compte a terme,635,2023-02-17
26,91f126d8-ac4b-4081-9fb9-25ae9140a59a,92e81701-e82b-46a9-bf1c-bb90f11cbd57,Compte cheques,8532,2021-03-03
27,df3747fc-609b-40cd-844b-0622909850b0,b719d5d1-b765-436b-8bad-eb6a72f8de62,Compte cheques,1980,2022-12-24
28,6014f3c1-4a42-4623-bb3c-6975e9513166,cb466520-ed4f-47f8-a87e-fbed5d4c98c0,Compte de depot a vue,9748,2021-05-30
29,eab2c902-64c5-476d-bbd2-f5e8c7b034fe,e4d84e2b-2232-41f1-afed-881ac537306c,Compte a terme,4414,2022-08-01
30,77abb12e-385f-4552-949f-cc604fac9c21,2db92510-dd0d-4c87-b174-93d29dbafd46,Compte de depot a vue,3322,2021-05-09
31,a6771fba-58ce-428a-bb1b-94820ad7aeb3,c7644bfb-1263-4667-9cfd-b72d80c2ef5c,Compte a terme,9580,2020-03-06
32,2195c404-28b5-4e03-acd5-ecc9458bf280,82d5c70f-5541-43d0-a4a8-752e8179c249,Compte epargne,405,2022-04-29
33,6dcba176-d716-4880-911c-992f3b0e3934,0e446831-236d-4c65-9276-eda1c6fa0202,Compte de depot a vue,8402,2022-11-19
34,285ab8dc-4c90-43b1-b0e2-e9da7a586148,b5448ebf-8bb6-4714-820f-b39e6c43055d,Compte de depot a vue,9705,2023-04-30
35,8274672b-4d5c-4ed3-974c-25d9b1c13b8c,727aa837-0aab-46b9-b83b-215a27cf5972,Compte cheques,708,2020-12-31
36,db01e530-4637-4522-b458-286e912535f7,5252601a-0a56-49d8-b820-5f199c3d166e,Compte epargne,9876,2023-06-04
